dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,reference,start-date,typology,address,address-text,description,notes,organisation,tree,tree-preservation-order,tree-preservation-order-tree,tree-species
tree,,7002000000,2010-07-07,,,"The Chiltern District Council (Land at 4 Copse Way, Chesham HP5 2LX) Tree Preservation Order 2010 No",67,POINT (-0.619836 51.726052),tree,L54NMBES07K00,2010-07-07,geography,,Land at 4 Copse Way Chesham Buckinghamshire HP5 2LX,,,,,TPO/2010/001,,
tree,,7002000001,2010-11-19,,,"The Chiltern District Council (Land at Tellicherry, 15 Foxdell Way, Chalfont St Peter SL9 0PL) Tree",67,POINT (-0.556928 51.622773),tree,LC4R69ES07K00,2010-11-19,geography,,Land at Tellicherry 15 Foxdell Way Chalfont St Peter Buckinghamshire SL9 0PL,,,,,TPO/2010/002,,
tree,,7002000002,2011-02-07,,,"The Chiltern District Council (Land at 22 Eghams Wood Road, Knotty Green, Beaconsfield HP9 1JU) Tree",67,POINT (-0.657987 51.615428),tree,LG8X5QES07K00,2011-02-07,geography,,Land at 22 Eghams Wood Road Knotty Green Beaconsfield Buckinghamshire HP9 1JU,,,,,TPO/2011/001,,
tree,,7002000003,2011-02-14,,,"The Chiltern District Council (Land at 25 Elm Close, Amersham, HP6 5DD) Tree Preservation Order 2011",67,POINT (-0.606113 51.674676),tree,LGLX3IES07K00,2011-02-14,geography,,Land at 25 Elm Close Amersham Buckinghamshire HP6 5DD,,,,,TPO/2011/002,,
tree,,7002000004,2011-06-07,,,"The Chiltern District Council ( Land at Long Gable, Cherry Tree Lane, Chalfont St Peter SL9 9DQ) Tre",67,POINT (-0.561944 51.603502),tree,LMEXKGES07K00,2011-06-07,geography,,Land at Long Gable Cherry Tree Lane Chalfont St Peter Buckinghamshire SL9 9DQ,,,,,TPO/2011/003,,
tree,,7002000005,2011-07-07,,,No 4 of 2011,67,POINT (-0.618593 51.682800),tree,LNX1ARES07K00,2011-07-07,geography,,Land at 2 Woodfield Park Amersham Buckinghamshire HP6 5QQ,,,,,TPO/2011/004,,
tree,,7002000006,2011-07-29,,,No 5 of 2011,67,POINT (-0.632695 51.736099),tree,LOMKUSES07K00,2011-07-29,geography,,Land at The Old Brickworks Chesham Road Bellingdon Buckinghamshire,,,,,TPO/2011/005,,
tree,,7002000007,2011-08-03,,,No 6 of 2011,67,POINT (-0.610601 51.612181),tree,LPCX3XES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000008,2011-08-03,,,No 6 of 2011,67,POINT (-0.610543 51.612189),tree,LPCX3XES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000009,2011-08-03,,,No 6 of 2011,67,POINT (-0.610369 51.612205),tree,LPCX3YES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000010,2011-08-03,,,No 6 of 2011,67,POINT (-0.610139 51.612193),tree,LPCX3YES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000011,2011-08-03,,,No 6 of 2011,67,POINT (-0.609603 51.612223),tree,LPCX3ZES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000012,2011-08-03,,,No 6 of 2011,67,POINT (-0.609472 51.612284),tree,LPCX3ZES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000013,2011-08-03,,,No 6 of 2011,67,POINT (-0.609285 51.612246),tree,LPCX40ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000014,2011-08-03,,,No 6 of 2011,67,POINT (-0.610099 51.612085),tree,LPCX40ES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000015,2011-08-03,,,No 6 of 2011,67,POINT (-0.610072 51.612004),tree,LPCX41ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000016,2011-08-03,,,No 6 of 2011,67,POINT (-0.609887 51.611930),tree,LPCX42ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000017,2011-08-03,,,No 6 of 2011,67,POINT (-0.610734 51.612102),tree,LPCX42ES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000018,2011-08-03,,,No 6 of 2011,67,POINT (-0.610662 51.612083),tree,LPCX43ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000019,2011-08-03,,,No 6 of 2011,67,POINT (-0.610576 51.612064),tree,LPCX43ES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000020,2011-08-03,,,No 6 of 2011,67,POINT (-0.610477 51.612009),tree,LPCX44ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000021,2011-08-03,,,No 6 of 2011,67,POINT (-0.610391 51.611972),tree,LPCX44ES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000022,2011-08-03,,,No 6 of 2011,67,POINT (-0.610335 51.611926),tree,LPCX45ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000023,2011-08-03,,,No 6 of 2011,67,POINT (-0.610107 51.611815),tree,LPCX45ES07K01,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000024,2011-08-03,,,No 6 of 2011,67,POINT (-0.609535 51.611611),tree,LPCX46ES07K00,2011-08-03,geography,,Land at Red Cottage Long Bottom Lane Seer Green Buckinghamshire HP9 2UL,,,,,TPO/2011/006,,
tree,,7002000025,2011-09-21,,,No 7 of 2011,67,POINT (-0.586327 51.613447),tree,LRVKTNES07K00,2011-09-21,geography,,Land at Longreach Jordans Way Jordans Buckinghamshire HP9 2SP,,,,,TPO/2011/007,,
tree,,7002000026,2011-09-21,,,No 7 of 2011,67,POINT (-0.586625 51.613136),tree,LRVKV6ES07K00,2011-09-21,geography,,Land at Longreach Jordans Way Jordans Buckinghamshire HP9 2SP,,,,,TPO/2011/007,,
tree,,7002000027,2011-12-01,,,TPO No 8 of 2011,67,POINT (-0.547946 51.605920),tree,LRYUADES07K00,2011-12-01,geography,,Land In Front Of Eveclanon and Rose Lawn Ellis Avenue Chalfont St Peter Buckinghamshire,,,,,TPO/2011/008,,
tree,,7002000028,2011-12-08,,,No 9 of 2011,67,POINT (-0.602184 51.679692),tree,LVVT3XES07K00,2011-12-08,geography,,Land at Fencot 4 Parkfield Avenue Amersham Buckinghamshire HP6 6BE,,,,,TPO/2011/009,,
tree,,7002000029,2012-02-15,,,No 1 of 2012,67,POINT (-0.613296 51.686667),tree,LZE1MUES07K00,2012-02-15,geography,,Land at Beech Grove 4 Clifton Road Chesham Bois Amersham Buckinghamshire HP6 5PU,,,,,TPO/2012/001,,
tree,,7002000030,2012-04-18,,,No 2 of 2012,67,POINT (-0.555535 51.597489),tree,M2OIVHES07K00,2012-04-18,geography,,Land at Jaffna 33 Kingsway Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8NX,,,,,TPO/2012/002,,
tree,,7002000031,2012-06-29,,,No 3 of 2012,67,POINT (-0.563487 51.666619),tree,M69QGOES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000032,2012-06-29,,,No 3 of 2012,67,POINT (-0.563386 51.666608),tree,M6DV1XES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000033,2012-06-29,,,No 3 of 2012,67,POINT (-0.563255 51.666634),tree,M6DV1YES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000034,2012-06-29,,,No 3 of 2012,67,POINT (-0.563023 51.666658),tree,M6DV1YES07K01,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000035,2012-06-29,,,No 3 of 2012,67,POINT (-0.562635 51.666581),tree,M6DV1ZES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000036,2012-06-29,,,No 3 of 2012,67,POINT (-0.563345 51.666527),tree,M6DV20ES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000037,2012-06-29,,,No 3 of 2012,67,POINT (-0.563323 51.666302),tree,M6DV20ES07K01,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000038,2012-06-29,,,No 3 of 2012,67,POINT (-0.563024 51.666163),tree,M6DV20ES07K02,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000039,2012-06-29,,,No 3 of 2012,67,POINT (-0.563466 51.665467),tree,M6DV21ES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
